h1,h2,h3,h4,h5
-6.542410301904315606e-01,2.148013823014242707e+00,4.146824977048345851e+00,6.302405633359636106e+00,6.992318151057705933e+00
-6.607808133884560675e-01,2.135987225384870847e+00,4.130884707586823801e+00,6.282244737412462143e+00,7.000962408518448754e+00
-6.556965561100093209e-01,2.145336768042581888e+00,4.143276621633940060e+00,6.297917640212858714e+00,7.006156466356927126e+00
-6.542410301904315606e-01,2.148013823014242707e+00,4.146824977048345851e+00,6.302405633359636106e+00,7.023510776650847554e+00
-6.454808383717335341e-01,2.164130182311037487e+00,4.168188392867979708e+00,6.329427639547036577e+00,7.046165654737009731e+00
-6.454808383717335341e-01,2.164130182311037487e+00,4.168188392867979708e+00,6.329427639547036577e+00,7.040928110422536967e+00
-6.396148137027253266e-01,2.174926176920059184e+00,4.182500869532114862e+00,6.347532400780412587e+00,7.072439299683290770e+00
-6.285596649938819391e-01,2.195281297648934871e+00,4.209489536736818138e+00,6.381674892615910366e+00,7.086510760982379864e+00
-6.211483763476339792e-01,2.208933709670084511e+00,4.227593659137268034e+00,6.404579879150899657e+00,7.121870025683381122e+00
-6.241168678178609097e-01,2.203464797014275334e+00,4.220341229272161598e+00,6.395404048373807271e+00,7.097091374964186627e+00
-6.174302775297337842e-01,2.215784812135930260e+00,4.236679491477872261e+00,6.416075714297615917e+00,7.123644800132437283e+00
-6.017227289785341826e-01,2.244742433439155693e+00,4.275088213625199529e+00,6.464676800100347620e+00,7.166435708208233279e+00
-5.964537333851156475e-01,2.254461243768711487e+00,4.287981017682629847e+00,6.480992538570191641e+00,7.162855337471049744e+00
-5.994666302812635683e-01,2.248903554459071419e+00,4.280608161756373597e+00,6.471662150018171467e+00,7.139647132100842342e+00
-5.858654664328273309e-01,2.273999392361353955e+00,4.313902997934826011e+00,6.513799043161121460e+00,7.196975877254883969e+00
-5.782610370045699888e-01,2.288037962723655117e+00,4.332530955536794792e+00,6.537376339943123504e+00,7.205994897712598046e+00
-5.621781290567393619e-01,2.317746160751732010e+00,4.371957891943788255e+00,6.587284268719537650e+00,7.256812045129642286e+00
-5.420494121391061793e-01,2.354960865266562564e+00,4.421359804395081028e+00,6.649829248553289496e+00,7.298953434980322896e+00
-5.467160012539865610e-01,2.346329847661553725e+00,4.409901012622287730e+00,6.635320896403475111e+00,7.286089390254037568e+00
