T1,T2,T3,T4,T5
3.313178586524761045e+02,3.313178586524761045e+02,3.313178586524761045e+02,3.313178586524761045e+02,3.408807239746281539e+02
3.313332424032751646e+02,3.313332424032751646e+02,3.313332424032751646e+02,3.313332424032751646e+02,3.408600510073018199e+02
3.313793773956425639e+02,3.313793773956425639e+02,3.313793773956425639e+02,3.313793773956425639e+02,3.409082802001126993e+02
3.313793773956425639e+02,3.313793773956425639e+02,3.313793773956425639e+02,3.313793773956425639e+02,3.408393730677413487e+02
3.313870641910287418e+02,3.313870641910287418e+02,3.313870641910287418e+02,3.313870641910287418e+02,3.408807239746281539e+02
3.314408528141460692e+02,3.314408528141460692e+02,3.314408528141460692e+02,3.314408528141460692e+02,3.410184168437315293e+02
3.314254880178908707e+02,3.314254880178908707e+02,3.314254880178908707e+02,3.314254880178908707e+02,3.410115374369252663e+02
3.314408528141460692e+02,3.314408528141460692e+02,3.314408528141460692e+02,3.314408528141460692e+02,3.410528056190637471e+02
3.314638949388164519e+02,3.314638949388164519e+02,3.314638949388164519e+02,3.314638949388164519e+02,3.410665572765821025e+02
3.314946083132056174e+02,3.314946083132056174e+02,3.314946083132056174e+02,3.314946083132056174e+02,3.409840143013183251e+02
3.315329848406336737e+02,3.315329848406336737e+02,3.315329848406336737e+02,3.315329848406336737e+02,3.410596817229323392e+02
3.315483307286751256e+02,3.315483307286751256e+02,3.315483307286751256e+02,3.315483307286751256e+02,3.410459289648991330e+02
3.314562149063971219e+02,3.314562149063971219e+02,3.314562149063971219e+02,3.314562149063971219e+02,3.410459289648991330e+02
3.314792529768327540e+02,3.314792529768327540e+02,3.314792529768327540e+02,3.314792529768327540e+02,3.411146707524988528e+02
3.314715742955889937e+02,3.314715742955889937e+02,3.314715742955889937e+02,3.314715742955889937e+02,3.410115374369252663e+02
3.315099609488779038e+02,3.315099609488779038e+02,3.315099609488779038e+02,3.315099609488779038e+02,3.411009267942556562e+02
3.315560026611098010e+02,3.315560026611098010e+02,3.315560026611098010e+02,3.315560026611098010e+02,3.411421520743946303e+02
3.315406581218888959e+02,3.315406581218888959e+02,3.315406581218888959e+02,3.315406581218888959e+02,3.411284125123394233e+02
3.314562149063971219e+02,3.314562149063971219e+02,3.314562149063971219e+02,3.314562149063971219e+02,3.410115374369252663e+02
3.314408528141460692e+02,3.314408528141460692e+02,3.314408528141460692e+02,3.314408528141460692e+02,3.409633661636409556e+02
3.315790144134795128e+02,3.315790144134795128e+02,3.315790144134795128e+02,3.315790144134795128e+02,3.413685380912063465e+02
3.315253108847918497e+02,3.315253108847918497e+02,3.315253108847918497e+02,3.315253108847918497e+02,3.413959383055658918e+02
3.314946083132056174e+02,3.314946083132056174e+02,3.314946083132056174e+02,3.314946083132056174e+02,3.414164827283083810e+02
3.315253108847918497e+02,3.315253108847918497e+02,3.315253108847918497e+02,3.315253108847918497e+02,3.415054517792847264e+02
3.314869309826656263e+02,3.314869309826656263e+02,3.314869309826656263e+02,3.314869309826656263e+02,3.414712438273418798e+02
3.314562149063971219e+02,3.314562149063971219e+02,3.314562149063971219e+02,3.314562149063971219e+02,3.413068556160455955e+02
3.314715742955889937e+02,3.314715742955889937e+02,3.314715742955889937e+02,3.314715742955889937e+02,3.412108169394724655e+02
3.314869309826656263e+02,3.314869309826656263e+02,3.314869309826656263e+02,3.314869309826656263e+02,3.412176804078389409e+02
3.315022849685703932e+02,3.315022849685703932e+02,3.315022849685703932e+02,3.315022849685703932e+02,3.412588497033775639e+02
3.315022849685703932e+02,3.315022849685703932e+02,3.315022849685703932e+02,3.315022849685703932e+02,3.412451287976210779e+02
3.314101205166862201e+02,3.314101205166862201e+02,3.314101205166862201e+02,3.314101205166862201e+02,3.411696246076164698e+02
3.314792529768327540e+02,3.314792529768327540e+02,3.314792529768327540e+02,3.314792529768327540e+02,3.411490210314455567e+02
3.315790144134795128e+02,3.315790144134795128e+02,3.315790144134795128e+02,3.315790144134795128e+02,3.413205666629157804e+02
3.314869309826656263e+02,3.314869309826656263e+02,3.314869309826656263e+02,3.314869309826656263e+02,3.411696246076164698e+02
3.315406581218888959e+02,3.315406581218888959e+02,3.315406581218888959e+02,3.315406581218888959e+02,3.412794269523213870e+02
3.314024357514321082e+02,3.314024357514321082e+02,3.314024357514321082e+02,3.314024357514321082e+02,3.410596817229323392e+02
3.315176362542457582e+02,3.315176362542457582e+02,3.315176362542457582e+02,3.315176362542457582e+02,3.412862849396919955e+02
3.315176362542457582e+02,3.315176362542457582e+02,3.315176362542457582e+02,3.315176362542457582e+02,3.412588497033775639e+02
3.314024357514321082e+02,3.314024357514321082e+02,3.314024357514321082e+02,3.314024357514321082e+02,3.410459289648991330e+02
3.315253108847918497e+02,3.315253108847918497e+02,3.315253108847918497e+02,3.315253108847918497e+02,3.412519895245299040e+02
3.314101205166862201e+02,3.314101205166862201e+02,3.314101205166862201e+02,3.314101205166862201e+02,3.411284125123394233e+02
3.314485341982130535e+02,3.314485341982130535e+02,3.314485341982130535e+02,3.314485341982130535e+02,3.411627572979793968e+02
3.313563129473241133e+02,3.313563129473241133e+02,3.313563129473241133e+02,3.313563129473241133e+02,3.411077990482161795e+02
3.313178586524761045e+02,3.313178586524761045e+02,3.313178586524761045e+02,3.313178586524761045e+02,3.410803067335347123e+02
3.313024721900881104e+02,3.313024721900881104e+02,3.313024721900881104e+02,3.313024721900881104e+02,3.410803067335347123e+02
3.311638718498596745e+02,3.311638718498596745e+02,3.311638718498596745e+02,3.311638718498596745e+02,3.409220550009916906e+02
3.312793874101955680e+02,3.312793874101955680e+02,3.312793874101955680e+02,3.312793874101955680e+02,3.410115374369252663e+02
3.311869871941227075e+02,3.311869871941227075e+02,3.311869871941227075e+02,3.311869871941227075e+02,3.409358275947914763e+02
