#Longshot inviscid contour determined from turbulent CFD using SST model. Valid for experiment at low Reynolds number at t=10ms.
#distance_from_throat(m)	radius(m)
8.0582523e-03	3.7206012e-03
8.2123458e-03	3.7385552e-03
8.3679515e-03	3.7569337e-03
8.5250837e-03	3.7757445e-03
8.6837571e-03	3.7949933e-03
8.8439886e-03	3.8146691e-03
9.0057959e-03	3.8347566e-03
9.1691927e-03	3.8552733e-03
9.3341928e-03	3.8762390e-03
9.5008132e-03	3.8976459e-03
9.6690716e-03	3.9194855e-03
9.8389850e-03	3.9417556e-03
1.0010570e-02	3.9644565e-03
1.0183844e-02	3.9875894e-03
1.0358823e-02	4.0111573e-03
1.0535525e-02	4.0351616e-03
1.0713967e-02	4.0596009e-03
1.0894167e-02	4.0844777e-03
1.1076142e-02	4.1097981e-03
1.1259910e-02	4.1355589e-03
1.1445492e-02	4.1617561e-03
1.1632904e-02	4.1883920e-03
1.1822165e-02	4.2154701e-03
1.2013293e-02	4.2429925e-03
1.2206310e-02	4.2709547e-03
1.2401233e-02	4.2993520e-03
1.2598084e-02	4.3281829e-03
1.2796882e-02	4.3574525e-03
1.2997645e-02	4.3871706e-03
1.3200391e-02	4.4173478e-03
1.3405144e-02	4.4479621e-03
1.3611929e-02	4.4789947e-03
1.3820760e-02	4.5104761e-03
1.4031658e-02	4.5424140e-03
1.4244646e-02	4.5747958e-03
1.4459748e-02	4.6076083e-03
1.4676981e-02	4.6408742e-03
1.4896367e-02	4.6746043e-03
1.5117934e-02	4.7087569e-03
1.5341699e-02	4.7433603e-03
1.5567684e-02	4.7784275e-03
1.5795917e-02	4.8139199e-03
1.6026415e-02	4.8498795e-03
1.6259202e-02	4.8863011e-03
1.6494307e-02	4.9231491e-03
1.6731747e-02	4.9604670e-03
1.6971548e-02	4.9982402e-03
1.7213738e-02	5.0364564e-03
1.7458335e-02	5.0751426e-03
1.7705367e-02	5.1142899e-03
1.7954858e-02	5.1536551e-03
1.8206835e-02	5.1933058e-03
1.8461321e-02	5.2334043e-03
1.8718341e-02	5.2739931e-03
1.8977923e-02	5.3149921e-03
1.9240092e-02	5.3564924e-03
1.9504873e-02	5.3984069e-03
1.9772294e-02	5.4408268e-03
2.0042383e-02	5.4836654e-03
2.0315166e-02	5.5270154e-03
2.0590669e-02	5.5707794e-03
2.0868919e-02	5.6150446e-03
2.1149946e-02	5.6597381e-03
2.1433778e-02	5.7049554e-03
2.1720443e-02	5.7506102e-03
2.2009970e-02	5.7968027e-03
2.2302386e-02	5.8434216e-03
2.2597721e-02	5.8905646e-03
2.2896005e-02	5.9381367e-03
2.3197268e-02	5.9862111e-03
2.3501542e-02	6.0348346e-03
2.3808854e-02	6.0839167e-03
2.4119235e-02	6.1335386e-03
2.4432715e-02	6.1836017e-03
2.4749330e-02	6.2342151e-03
2.5069106e-02	6.2852873e-03
2.5392067e-02	6.3369735e-03
2.5733203e-02	6.3914737e-03
2.6077047e-02	6.4464948e-03
2.6423647e-02	6.5018967e-03
2.6773015e-02	6.5576682e-03
2.7125178e-02	6.6139421e-03
2.7480156e-02	6.6706769e-03
2.7837972e-02	6.7279173e-03
2.8198648e-02	6.7856092e-03
2.8562208e-02	6.8436738e-03
2.8928676e-02	6.9022295e-03
2.9298074e-02	6.9612407e-03
2.9670426e-02	7.0206456e-03
3.0045756e-02	7.0805826e-03
3.0424086e-02	7.1409862e-03
3.0805442e-02	7.2017962e-03
3.1189849e-02	7.2631508e-03
3.1577328e-02	7.3249945e-03
3.1967906e-02	7.3872647e-03
3.2361609e-02	7.4500914e-03
3.2758460e-02	7.5134002e-03
3.3158478e-02	7.5772329e-03
3.3561758e-02	7.6411829e-03
3.3967736e-02	7.7058745e-03
3.4377299e-02	7.7708908e-03
3.4790742e-02	7.8365955e-03
3.5207202e-02	7.9044765e-03
3.5626697e-02	7.9738586e-03
3.6049541e-02	8.0424401e-03
3.6475876e-02	8.1090800e-03
3.6905653e-02	8.1745769e-03
3.7338838e-02	8.2411556e-03
3.7775470e-02	8.3100238e-03
3.8215597e-02	8.3811227e-03
3.8659252e-02	8.4532606e-03
3.9106454e-02	8.5254632e-03
3.9557230e-02	8.5974088e-03
4.0011611e-02	8.6696983e-03
4.0469626e-02	8.7424730e-03
4.0931304e-02	8.8160195e-03
4.1396673e-02	8.8902315e-03
4.1865764e-02	8.9649111e-03
4.2338606e-02	9.0401528e-03
4.2815230e-02	9.1160678e-03
4.3295664e-02	9.1924895e-03
4.3779941e-02	9.2695208e-03
4.4268090e-02	9.3472478e-03
4.4760143e-02	9.4255270e-03
4.5256130e-02	9.5044994e-03
4.5756084e-02	9.5839875e-03
4.6260036e-02	9.6640843e-03
4.6768018e-02	9.7449211e-03
4.7280060e-02	9.8262829e-03
4.7796197e-02	9.9083746e-03
4.8316473e-02	9.9910054e-03
4.8840901e-02	1.0074277e-02
